host_location,host_response_time,host_is_superhost,host_neighbourhood,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,accommodates,bedrooms,amenities,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_count
"Bangkok, Thailand",within an hour,t,other,314.0,t,Vadhana,Entire rental unit,2,1.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Air conditioning"", ""Bed linens"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Toaster"", ""Dedicated workspace"", ""Hair dryer"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Gym"", ""Trash compactor"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hot water kettle"", ""Clothing storage"", ""Safe"", ""Building staff"", ""Pool"", ""Cooking basics"", ""Self check-in"", ""Kitchen""]",4000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33
"Bangkok, Thailand",within an hour,t,other,314.0,t,Vadhana,Entire rental unit,4,2.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Air conditioning"", ""Bed linens"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Toaster"", ""Dedicated workspace"", ""Hair dryer"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Gym"", ""Trash compactor"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hot water kettle"", ""Clothing storage"", ""Safe"", ""Building staff"", ""Pool"", ""Cooking basics"", ""Self check-in"", ""Kitchen""]",6000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33
"Bangkok, Thailand",within an hour,t,other,314.0,t,Khlong Toei,Entire rental unit,4,2.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Air conditioning"", ""Bed linens"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Toaster"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Gym"", ""Trash compactor"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Clothing storage"", ""Building staff"", ""Pool"", ""Cooking basics"", ""Self check-in"", ""Kitchen""]",4000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29
unknown,within an hour,f,other,60.0,t,Khlong Toei,Entire rental unit,2,1.0,"[""Dining table"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Host greets you"", ""Washer"", ""Smoke alarm"", ""Drying rack for clothing"", ""Cleaning products"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Private entrance"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Backyard"", ""Dishes and silverware"", ""Gym"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Clothing storage"", ""Pool"", ""Essentials"", ""Kitchen""]",845.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32
unknown,within an hour,f,other,4.0,t,Bang Kapi,Private room in rental unit,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Outdoor furniture"", ""Patio or balcony"", ""Bidet"", ""Laundromat nearby"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Cleaning products"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Private entrance"", ""Cleaning available during stay"", ""Sun loungers"", ""Hot water"", ""Wifi"", ""Lockbox"", ""Dedicated workspace"", ""Movie theater"", ""Shampoo"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Coffee"", ""Outdoor dining area"", ""Ceiling fan"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""Safe"", ""Lock on bedroom door"", ""Essentials"", ""Self check-in"", ""First aid kit""]",634.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42
"Bangkok, Thailand",within an hour,f,other,85.0,t,Huai Khwang,Entire condo,4,2.0,"[""TV"", ""Hot tub"", ""Wifi"", ""Fire extinguisher"", ""Pool table"", ""Outdoor shower"", ""Washer"", ""Dedicated workspace"", ""Outdoor dining area"", ""Paid parking on premises"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",2565.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18
"Bangkok, Thailand",within an hour,f,other,85.0,t,Huai Khwang,Entire condo,4,2.0,"[""TV"", ""Hot tub"", ""Wifi"", ""Fire extinguisher"", ""Outdoor shower"", ""Washer"", ""Dedicated workspace"", ""Paid parking on premises"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",2565.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16
"Bangkok, Thailand",within an hour,,other,60.0,t,Din Daeng,Private room in rental unit,5,3.0,"[""Bathtub"", ""Dining table"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Elevator"", ""Other electric stove"", ""Outdoor shower"", ""Washer"", ""Housekeeping available from 9:00\u202fAM to 4:00\u202fPM, Sunday to Saturday - available at extra cost"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Private entrance"", ""Private patio or balcony"", ""Hot water"", ""Portable fans"", ""City skyline view"", ""Conditioner"", ""Wifi"", ""Toaster"", ""Dedicated workspace"", ""Lockbox"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Hot tub"", ""Self check-in"", ""Private living room"", ""Long term stays allowed"", ""TV"", ""Double oven"", ""Hangers"", ""Mini fridge"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""Lock on bedroom door"", ""Pool"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""Kitchen""]",4339.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,53
"Bangkok, Thailand",within an hour,t,other,314.0,t,Khlong Toei,Entire rental unit,6,3.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Air conditioning"", ""Bed linens"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Toaster"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Gym"", ""Trash compactor"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Clothing storage"", ""Building staff"", ""Pool"", ""Cooking basics"", ""Self check-in"", ""Kitchen""]",5500.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28
"Bangkok, Thailand",within an hour,t,other,9.0,t,Ratchathewi,Entire rental unit,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Washer"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Private entrance"", ""Paid parking lot off premises"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Clothing storage: wardrobe"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Induction stove"", ""Long term stays allowed"", ""Freezer"", ""TV"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Free dryer \u2013 In building"", ""Books and reading material"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""First aid kit"", ""Kitchen""]",1735.0,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.67,41
unknown,within an hour,f,other,38.0,t,Sathon,Private room in rental unit,2,1.0,"[""Dining table"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Heating"", ""Elevator"", ""Bidet"", ""Laundromat nearby"", ""Fire extinguisher"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Cleaning available during stay"", ""Wifi"", ""Conditioner"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Ceiling fan"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Ethernet connection"", ""Clothing storage"", ""Lock on bedroom door"", ""Smoking allowed"", ""Building staff"", ""Essentials"", ""Self check-in"", ""First aid kit""]",632.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36
unknown,within an hour,f,other,38.0,t,Yan na wa,Private room in rental unit,2,1.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Lock on bedroom door"", ""Self check-in"", ""Building staff"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Iron"", ""Air conditioning"", ""Free parking on premises""]",712.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13
"Bangkok, Thailand",within an hour,t,other,9.0,t,Ratchathewi,Entire rental unit,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Washer"", ""Outdoor furniture"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Private entrance"", ""Private patio or balcony"", ""Paid parking lot off premises"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Clothing storage: wardrobe"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Induction stove"", ""Outdoor dining area"", ""Long term stays allowed"", ""Freezer"", ""TV"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Free dryer \u2013 In building"", ""Books and reading material"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""First aid kit"", ""Kitchen""]",1534.0,8,5.0,5.0,5.0,5.0,5.0,4.88,5.0,6.67,44
"Bangkok, Thailand",within an hour,f,other,13.0,t,Suanluang,Entire rental unit,2,1.0,"[""TV"", ""Wifi"", ""Heating"", ""Fire extinguisher"", ""Dedicated workspace"", ""Washer"", ""Hair dryer"", ""Self check-in"", ""Building staff"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises""]",416.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15
unknown,within an hour,f,other,1.0,t,Din Daeng,Private room in rental unit,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Shower gel"", ""Elevator"", ""Fire extinguisher"", ""Smoke alarm"", ""Private patio or balcony"", ""Air conditioning"", ""Room-darkening shades"", ""Hitachi refrigerator"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Clothing storage: wardrobe"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Trash compactor"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Lock on bedroom door"", ""Books and reading material"", ""Wine glasses"", ""Housekeeping - available at extra cost""]",990.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,28
"Bangkok, Thailand",within an hour,f,other,13.0,t,Suanluang,Entire rental unit,2,1.0,"[""TV"", ""Wifi"", ""Heating"", ""Fire extinguisher"", ""Elevator"", ""Dedicated workspace"", ""Washer"", ""Hair dryer"", ""Self check-in"", ""Building staff"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens""]",416.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17
"Bangkok, Thailand",within an hour,f,other,85.0,t,Khlong Toei,Entire condo,2,1.0,"[""TV"", ""Hot tub"", ""Wifi"", ""Outdoor shower"", ""Washer"", ""Paid parking on premises"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1615.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14
"Bangkok, Thailand",within an hour,f,other,5.0,t,Samphanthawong,Shared room in hotel,8,1.0,"[""Hot water"", ""Shower gel"", ""City skyline view"", ""Wifi"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Washer"", ""Paid dryer \u2013 In building"", ""Self check-in"", ""Paid parking on premises"", ""Building staff"", ""Shampoo"", ""Smoke alarm"", ""Iron"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens""]",4200.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17
"Bangkok, Thailand",within an hour,f,other,85.0,t,Huai Khwang,Entire condo,4,2.0,"[""TV"", ""Hot tub"", ""Wifi"", ""Fire extinguisher"", ""Pool table"", ""Outdoor shower"", ""Washer"", ""Dedicated workspace"", ""Paid parking on premises"", ""Pool"", ""BBQ grill"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",2565.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18
"Bangkok, Thailand",within an hour,f,other,13.0,t,Vadhana,Entire condo,2,1.0,"[""Bathtub"", ""Dining table"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Washer"", ""Bidet"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Private entrance"", ""Private patio or balcony"", ""Sun loungers"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shared outdoor pool - open specific hours, lap pool"", ""Shampoo"", ""Housekeeping available Monday to Saturday - available at extra cost"", ""Exercise equipment"", ""Clothing storage: wardrobe"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Keypad"", ""Dryer"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Shared gym in building"", ""Hot water kettle"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Self check-in"", ""Kitchen""]",1552.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46
"Bangkok, Thailand",within an hour,f,other,85.0,t,Huai Khwang,Entire condo,4,2.0,"[""TV"", ""Hot tub"", ""Wifi"", ""Fire extinguisher"", ""Pool table"", ""Outdoor shower"", ""Washer"", ""Dedicated workspace"", ""Paid parking on premises"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",3090.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17
unknown,within an hour,f,Moo 5,46.0,t,Vadhana,Entire rental unit,4,2.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Outdoor shower"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Kitchen""]",8211.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13
unknown,within a day,f,other,1.0,t,Taling Chan,Entire home,6,3.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Host greets you"", ""Dedicated workspace"", ""Washer"", ""Pool"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",2023.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10
"Bangkok, Thailand",within an hour,t,Lower Sukhumvit,19.0,t,Vadhana,Entire rental unit,4,2.0,"[""Bathtub"", ""Dining table"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Washer"", ""Bidet"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Conditioner"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Oven"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Coffee"", ""Bread maker"", ""Hot tub"", ""Free parking on premises"", ""Hangers"", ""Hot water kettle"", ""Clothing storage"", ""Safe"", ""Smoking allowed"", ""Pool"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""Kitchen""]",4000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42
"Bangkok, Thailand",within an hour,f,other,85.0,t,Khlong Toei,Entire condo,2,1.0,"[""TV"", ""Wifi"", ""Fire extinguisher"", ""Pool table"", ""Outdoor shower"", ""Washer"", ""Paid parking on premises"", ""Pool"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Hot tub""]",1615.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14
unknown,within an hour,f,other,6.0,t,Suanluang,Private room in rental unit,2,1.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Dedicated workspace"", ""Washer"", ""Hair dryer"", ""Self check-in"", ""Building staff"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Iron"", ""Private entrance"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1890.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17
Hong Kong,within an hour,t,Klong Toey,32.0,t,Vadhana,Entire rental unit,2,1.0,"[""TV"", ""Hot tub"", ""Wifi"", ""Fire extinguisher"", ""Dedicated workspace"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1143.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,13
"Bangkok, Thailand",a few days or more,f,other,6.0,t,Vadhana,Private room in rental unit,3,2.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Outdoor shower"", ""Washer"", ""Lock on bedroom door"", ""Outdoor dining area"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",3000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16
Hong Kong,within an hour,t,Klong Toey,32.0,t,Vadhana,Entire rental unit,2,1.0,"[""TV"", ""Wifi"", ""Fire extinguisher"", ""Dedicated workspace"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",947.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
"Bangkok, Thailand",within an hour,t,other,19.0,t,Phra Khanong,Entire townhouse,4,2.0,"[""Dining table"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Crib - available upon request"", ""Babysitter recommendations"", ""Baking sheet"", ""Outdoor shower"", ""Washer"", ""Outdoor furniture"", ""Smart lock"", ""Bidet"", ""Laundromat nearby"", ""BBQ grill"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Sound system"", ""Air conditioning"", ""Private entrance"", ""Private patio or balcony"", ""Hot water"", ""Barbecue utensils"", ""Portable fans"", ""City skyline view"", ""Conditioner"", ""Wifi"", ""Toaster"", ""Dedicated workspace"", ""Movie theater"", ""Hair dryer"", ""Housekeeping - available at extra cost"", ""Shampoo"", ""Free street parking"", ""Microwave"", ""Oven"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Coffee"", ""Bread maker"", ""Board games"", ""High chair - available upon request"", ""Self check-in"", ""Baby bath - available upon request"", ""Long term stays allowed"", ""Free parking on premises"", ""Freezer"", ""TV"", ""Hangers"", ""Blender"", ""Mini fridge"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""Safe"", ""Smoking allowed"", ""Books and reading material"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""Coffee maker"", ""First aid kit"", ""Kitchen""]",2450.0,4,5.0,5.0,4.75,5.0,5.0,5.0,5.0,4.0,71
unknown,within an hour,f,other,10.0,t,Phaya Thai,Room in hotel,4,1.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Dedicated workspace"", ""Paid parking on premises"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning""]",2713.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10
unknown,within an hour,f,other,38.0,t,Yan na wa,Private room in rental unit,2,1.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Lock on bedroom door"", ""Self check-in"", ""Building staff"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Iron"", ""Air conditioning"", ""Free parking on premises""]",792.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13
Thailand,within an hour,t,other,5.0,t,Phra Khanong,Private room in guest suite,7,1.0,"[""Dishes and silverware"", ""Air conditioning"", ""Hot water"", ""Mini fridge"", ""Shower gel"", ""Conditioner"", ""Wifi"", ""Private living room"", ""Hot water kettle"", ""Washer"", ""Shampoo"", ""Kitchen"", ""Freezer"", ""Fire extinguisher"", ""Microwave"", ""Extra pillows and blankets"", ""Bed linens""]",1062.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17
"Bangkok, Thailand",within an hour,f,other,9.0,t,Yan na wa,Private room in rental unit,1,1.0,"[""TV"", ""Hangers"", ""Hot water"", ""Portable fans"", ""Paid washer \u2013 In building"", ""Wifi"", ""Host greets you"", ""Hot water kettle"", ""Long term stays allowed"", ""Clothing storage"", ""Lock on bedroom door"", ""Bidet"", ""Shampoo"", ""Fire extinguisher"", ""Air conditioning"", ""Cleaning available during stay""]",618.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16
"Bangkok, Thailand",within an hour,t,other,43.0,t,Khlong Toei,Entire rental unit,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Babysitter recommendations"", ""Heating"", ""Elevator"", ""Outdoor shower"", ""Washer"", ""Outdoor playground"", ""Patio or balcony"", ""Smart lock"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Private entrance"", ""Cleaning available during stay"", ""Hot water"", ""Resort access"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Sauna"", ""Exercise equipment"", ""Microwave"", ""Extra pillows and blankets"", ""Table corner guards"", ""Dishes and silverware"", ""Backyard"", ""Gym"", ""Pool table"", ""Window guards"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""TV"", ""Hangers"", ""Crib"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""Pool"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""Ping pong table"", ""First aid kit"", ""Kitchen""]",1174.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56
"Bangkok, Thailand",within an hour,f,other,85.0,t,Huai Khwang,Entire condo,4,2.0,"[""TV"", ""Wifi"", ""Fire extinguisher"", ""Outdoor shower"", ""Washer"", ""Dedicated workspace"", ""Paid parking on premises"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Hot tub""]",2565.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15
unknown,N/A,f,other,1.0,t,Phra Khanong,Private room in rental unit,2,1.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Dedicated workspace"", ""Washer"", ""Lock on bedroom door"", ""Pool"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
"Bangkok, Thailand",within an hour,f,other,20.0,t,Vadhana,Entire rental unit,2,1.0,"[""TV"", ""Hot tub"", ""Wifi"", ""Dedicated workspace"", ""Washer"", ""Pool"", ""Exercise equipment"", ""Air conditioning"", ""Kitchen""]",1160.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
"Bangkok, Thailand",within a few hours,f,other,58.0,t,Vadhana,Entire rental unit,3,1.0,"[""TV"", ""Wifi"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen""]",1700.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7
"Bangkok, Thailand",within an hour,t,other,8.0,t,Vadhana,Entire rental unit,2,1.0,"[""Dining table"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Elevator"", ""Outdoor shower"", ""Washer"", ""Patio or balcony"", ""Laundromat nearby"", ""Smoke alarm"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Private entrance"", ""Hot water"", ""Portable fans"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Sauna"", ""Exercise equipment"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Dryer"", ""Gym"", ""Outdoor dining area"", ""Paid parking on premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""TV"", ""Hangers"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""Pool"", ""Cooking basics"", ""Essentials"", ""Kitchen""]",1365.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44
"Bangkok, Thailand",within an hour,t,other,194.0,t,Huai Khwang,Entire rental unit,2,1.0,"[""TV"", ""Wifi"", ""Lockbox"", ""Fire extinguisher"", ""Outdoor shower"", ""Washer"", ""Dedicated workspace"", ""Self check-in"", ""Pool"", ""Cooking basics"", ""Smoke alarm"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1278.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17
